ProductId,Time,Rating,Sentiment Score,Sentiment Label,Summary
,2019-02-21,5,0.625550,positive,Love it
,2019-01-03,5,0.759519,positive,World's Best Oatmeal
,2019-07-23,4,0.399470,positive,Less stomach upset than the Healthy Weight version
,2019-05-19,5,0.601361,positive,Amazing stuff
,2019-02-01,4,0.690211,positive,"Tastes great, real thick"
,2019-11-10,5,-0.571889,negative,Excellent Product for Digestion
,2019-02-19,4,-0.626597,negative,Delicious and a world of uses!
,2019-01-08,4,0.351597,positive,$17.05 for satisfying and healthier rice substitute
,2019-05-12,5,-0.576174,negative,"Really amazed, and I am not usually amazed"
,2019-09-10,2,0.658123,positive,Confused about texture
,2019-06-26,3,0.318819,positive,My dog LOVES it BUT...
,2019-06-17,5,0.657977,positive,YUM! All aboard the coconut train!!
,2019-09-22,5,0.657381,positive,The best oatmeal out there!
,2019-05-21,2,-0.383127,negative,"Dog loves it, price is a bit high, question the quality of ingredients"
,2019-07-14,3,0.513079,positive,I Am Now Wondering!
,2019-08-08,1,-0.626496,negative,Poor Packing
,2019-03-01,5,0.940451,positive,Manuka Honey seems to be working to heal my ulcers
,2019-06-25,4,-0.496573,negative,"I can't rate taste, but my dogs love it."
,2019-07-17,5,-0.307791,negative,My Favorite Oatmeal
,2019-07-20,4,0.759282,positive,Good basic maintenance dog food
,2019-09-28,5,0.936238,positive,Best oatmeal I've ever eaten
,2019-02-16,5,0.631711,positive,Absolutely great!!
,2019-11-12,5,0.869768,positive,Medicinal honey
,2019-12-19,5,0.573949,positive,Very good
,2019-08-22,5,0.785383,positive,Great Product!!!
,2019-05-20,5,0.762626,positive,Awesome conditioner for thick African American hair!
,2019-07-31,5,0.770663,positive,Very pleasant aroma......Not heady
,2019-08-22,5,0.831650,positive,Coconut Oil is Good for You
,2019-03-06,5,0.796095,positive,The best honey
,2019-04-11,5,0.710850,positive,Healthy and Yum!
,2019-06-07,5,0.461794,positive,Love this stuff!
,2019-04-01,5,0.669298,positive,One of the Best Coconut oils on the Market
,2019-05-21,5,0.719988,positive,This is my dog's favorite food!
,2019-08-08,3,0.504586,positive,"Beneful Dog Food Has its Share of the Good, and the Bad"
,2019-08-19,5,-0.427931,negative,Love this!
,2019-01-12,5,0.767517,positive,best therapeutic honey!
,2019-07-07,5,0.449895,positive,A Hair Miracle!
,2019-02-27,5,-0.936842,negative,GREAT Honey
,2019-03-16,5,-0.611756,negative,Product great! Packaging lousy!
,2019-05-22,4,0.265920,positive,Not cat food but my dog likes it anyway
,2019-07-25,3,0.493355,positive,I want to like it...
,2019-04-10,5,0.424810,positive,Coconut Oil in PLASTIC!
,2019-12-22,5,-0.858420,negative,Miracle Honey!
,2019-01-01,5,-0.474993,negative,Healing Manuka Honey
,2019-07-24,5,-0.702095,negative,Two Paws Up
,2019-11-26,5,0.408531,positive,Not the cheapest....
,2019-07-24,5,0.357370,positive,This was a big hit!
,2019-08-12,5,0.891120,positive,It's Delicious
,2019-03-21,5,0.738395,positive,Great honey
,2019-05-20,5,0.963923,positive,Miracle!
,2019-04-29,5,0.715926,positive,The best!
,2019-05-31,1,-0.493608,negative,"Not ""Natural"""
,2019-03-07,5,0.519797,positive,good for your body
,2019-07-09,5,0.672869,positive,Delicious and healthy - Organic EV Coconut Oil
,2019-02-15,5,0.866561,positive,Delicious!
,2019-08-17,5,-0.342404,negative,Oatmeal Heaven!
,2019-07-25,5,0.664831,positive,Great taste; lost weight.
,2019-04-03,5,0.517349,positive,Will definately buy again
,2019-10-18,5,0.917107,positive,my favorite honey
,2019-12-02,5,0.332277,positive,Magic Honey
,2019-07-04,5,0.743662,positive,Great all around!
,2019-05-23,5,0.750806,positive,great to have
,2019-12-14,5,-0.350363,negative,Amazing Honey!!!
,2019-02-15,5,0.944787,positive,Best Oat Meal I've Ever Tasted
,2019-11-19,4,0.850618,positive,Healthy Honey
,2019-06-21,4,0.681476,positive,Nice flavor
,2019-03-28,5,0.967181,positive,The Best Oatmeal
,2019-06-15,3,0.362750,positive,"Some Good, Some Bad"
,2019-09-09,5,0.877062,positive,Good for you in every way
,2019-02-26,5,0.759005,positive,Great food.
,2019-02-16,5,0.875879,positive,Tastes great and good for you
,2019-07-20,5,0.669207,positive,It tastes like cherries...
,2019-07-19,4,0.672798,positive,A favorite in our house
,2019-08-17,5,0.655526,positive,The best steel cut oatmeal
,2019-07-23,5,-0.395163,negative,The ONLY dog food our dog will eat!
,2019-06-21,5,0.663309,positive,The Bees Knees
,2019-09-26,3,-0.311816,negative,Props for improvements but still a lower quality food source for Dogs
,2019-08-15,5,0.647521,positive,I don't like honey--I got this for the health benefits.
,2019-04-04,5,0.608972,positive,I like it
,2019-02-28,5,0.815405,positive,"Taste good, great with honey!"
,2019-06-09,5,0.455279,positive,Dog Prefers This - Actually Loves It
,2019-06-10,5,0.778939,positive,Best on the market
,2019-05-09,5,0.723997,positive,You can get addicted to this stuff..
,2019-04-07,5,0.712029,positive,"Excellent for skin, hair, and cooking"
,2019-07-20,3,0.679527,positive,Dog ate it right up
,2019-01-10,5,0.828622,positive,"Great product, great price and great, fast devliery."
,2019-07-02,3,-0.614021,negative,My picky eater picked at it
,2019-02-02,5,0.772166,positive,Wow!! Amazing stuff
,2019-12-04,4,0.476286,positive,Love the taste
,2019-08-26,5,-0.290339,negative,Tons of Uses!!
,2019-08-17,1,0.455433,positive,Can I give this no stars?
,2019-12-08,5,0.487095,positive,The Best Oatmeal
,2019-01-15,5,0.570529,positive,Creamiest brand ever
,2019-04-08,5,0.591102,positive,"Coconut Oil ""Miracle of Nature"""
,2019-06-02,1,-0.744596,negative,"More expensive than in the stores, not enough nutrition for dogs."
,2019-04-30,1,0.334751,positive,Horrible food!!
,2019-07-24,4,-0.340120,negative,Fred Votes Yes!
,2019-07-30,5,-0.441696,negative,...sat up and begged for more. :)
,2019-02-27,5,0.921346,positive,Good product
,2019-01-17,5,0.483298,positive,I am pleased with purchase.
,2019-07-26,5,0.445098,positive,Manuka Honey
,2019-08-12,5,0.981937,positive,yummy!
,2019-06-03,5,0.363622,positive,Fantastic oatmeal!
,2019-01-22,5,0.574645,positive,First cooked oatmeal that I've ever liked
,2019-06-02,5,0.638689,positive,Great !!
,2019-08-15,5,0.781752,positive,Great Oatmeal
,2019-06-20,2,-0.670542,negative,It made my dog sick!
,2019-02-21,5,0.659270,positive,Awesome Stuff !!
,2019-08-06,1,-0.480612,negative,"You change Your Honey, You Don't Get My Money"
,2019-07-20,5,0.962096,positive,Love This Honey
,2019-03-23,2,-0.439023,negative,Mixed feelings on this.
,2019-06-14,5,-0.515549,negative,i love this oatmeal
,2019-11-12,5,0.864980,positive,Good for you and great taste
,2019-03-24,4,0.311289,positive,"Taste, Flavor,Time, and Value"
,2019-12-13,5,0.685275,positive,Heavenly oatmeal.
,2019-05-30,5,0.760975,positive,Coconut Oil
,2019-05-18,5,0.765639,positive,the best oatmeal i've had
,2019-10-16,5,0.317227,positive,My dogs were begging for it!
,2019-01-11,5,0.884164,positive,AMAZING
,2019-08-02,4,0.347565,positive,No more Mush!
,2019-07-04,3,0.425944,positive,Dogs Love It But Is It beneficial?
,2019-06-20,5,0.490504,positive,"Great Product, Not So Great Price"
,2019-03-22,5,0.659488,positive,Amazing Skin and Hair Softener!
,2019-10-31,5,0.677624,positive,Great
,2019-05-29,5,0.906343,positive,Delicious
,2019-03-01,5,0.560798,positive,Nutritious & delicious!
,2019-02-14,5,0.306458,positive,Manuka honey
,2019-09-06,5,0.654761,positive,Allergy Effective
,2019-06-11,3,0.556733,positive,Delicious junk food
,2019-06-18,5,-0.530821,negative,Excellent for Gastric Ulcer
,2019-05-16,5,-0.433562,negative,Apparently Gluten-Free
,2019-06-18,2,-0.658401,negative,"My dogs accepted it, but they crapped 10x more."
,2019-07-24,4,0.527016,positive,"Huskies eat it, don't ask for it by name"
,2019-11-08,5,0.809573,positive,Coconut Oil
,2019-06-13,5,0.799102,positive,Love the product
,2019-12-14,5,0.716683,positive,Better than Oatmeal!
,2019-05-22,2,-0.585437,negative,"""Wholesale"" Ingredients... Enough said!"
,2019-07-18,5,-0.334317,negative,This product is chihuahua approved
,2019-07-01,5,0.656455,positive,Substance
,2019-04-02,5,0.975924,positive,Awesome oatmeal
,2019-02-25,1,-0.698938,negative,"False Advertising, Terrible Dog Food!!"
,2019-07-24,4,-0.677337,negative,Chihuahua Enjoys
,2019-07-01,5,0.739063,positive,Works magically on hair
,2019-10-05,3,-0.445066,negative,A few probelms
,2019-04-18,5,0.595520,positive,Wonderful
,2019-05-28,4,0.566157,positive,Great for cooking and spread.
,2019-06-03,5,0.469762,positive,"Once you start, you won't go back"
,2019-08-25,5,0.319681,positive,This is the stuff!
,2019-07-07,5,0.595942,positive,Excellent
,2019-01-08,5,0.490719,positive,Steel cut oats
,2019-03-12,5,0.405274,positive,The smell of sunshine and ice-cream!
,2019-08-01,4,-0.754731,negative,My Dogs Like This Too Much
,2019-02-28,5,0.624838,positive,Most excellent oatmeal
,2019-02-05,5,0.901954,positive,Great stuff!
,2019-01-13,5,0.572368,positive,"No better breakfast, no better oatmeal"
,2019-08-27,5,0.484448,positive,The Best stuff YET!
,2019-05-20,4,-0.366340,negative,McCann's Oatmeal is perfect for my rice cooker
,2019-02-27,5,0.608443,positive,the very best product
,2019-11-26,5,0.464250,positive,Great
,2019-06-16,5,0.392464,positive,best oatmeal!
,2019-11-24,5,0.733098,positive,I love it
,2019-03-07,5,0.681645,positive,"If it tastes, looks and smells like honey... it's raw honey!"
,2019-09-25,3,0.599606,positive,My go-to brand
,2019-08-17,3,-0.319223,negative,Good Treat Alternative
,2019-02-19,5,0.866663,positive,"tastes good, nice to eat a spoonful before bed or put in a tea"
,2019-11-23,5,0.799337,positive,comparatively cheaper and good quality
,2019-05-28,5,0.962796,positive,Purina Beneful Original Dry Dog Food
,2019-05-03,5,0.461607,positive,The benefits are amazing
,2019-07-11,5,0.337838,positive,Shipping and Denting
,2019-11-22,4,0.645177,positive,Honey
,2019-09-13,5,0.787976,positive,"Delicious, wholesome product-- and the tins are great for knick knacks!"
,2019-07-18,3,-0.340689,negative,"Better than ""Dog Chow"" but not by much"
,2019-12-05,5,0.698842,positive,For the oatmeal conoisseur
,2019-01-20,2,0.749218,positive,not worth the $ or the yuck factor
,2019-04-15,5,-0.945166,negative,manuka honey
,2019-07-02,3,-0.297002,negative,Beneful
,2019-10-12,5,0.790303,positive,This is a panacea
,2019-06-24,5,0.310900,positive,Add Drambuie and brown sugar and you've got oatmeal for adults
,2019-08-01,5,0.719623,positive,Cure for Cancer???
,2019-07-23,4,0.424555,positive,Dog likes it
,2019-10-07,5,-0.501881,negative,From Proton Pump Inhibitor to Wdderspoon's Manuka Honey
,2019-04-04,5,0.775743,positive,Very healthy
,2019-09-01,5,0.451437,positive,LOVE IT
,2019-11-14,5,0.723211,positive,McCanns Steel Cut Oatmeal
,2019-06-15,5,0.382106,positive,Manuka Honey
,2019-03-18,5,0.768273,positive,excellent product
,2019-01-27,5,0.624291,positive,Great Oatmeal
,2019-06-11,2,-0.484393,negative,"Dog enjoyed it, but poor grade food overall"
,2019-11-08,4,0.926161,positive,Raw Organic Manuka Honey
,2019-01-27,5,0.553798,positive,Yum!
,2019-10-14,3,-0.582832,negative,Not Necessarily Good for Stomachs
,2019-08-29,5,0.303449,positive,Awesome.  Plain and Simple.
,2019-01-08,5,0.571811,positive,McCann's Oatmeal
,2019-09-25,1,0.288750,positive,Great food for dogs who need corn
,2019-07-25,4,0.813801,positive,Our dogs love it!
,2019-03-29,5,-0.537826,negative,Drs could learn something here
,2019-07-20,4,0.295806,positive,My Chihuahua Loves It; Resealable Bag
,2019-04-06,5,0.423546,positive,Coconut Oil and HDL
,2019-05-23,5,0.786739,positive,great
,2019-06-02,1,-0.932890,negative,Poor quality
,2019-01-16,5,-0.683128,negative,please charge me for the second shipment
,2019-09-25,3,0.334492,positive,"No shedding, eats most of the kibbles."
,2019-11-05,5,0.846302,positive,The Best Oatmeal
,2019-02-09,2,-0.854653,negative,Selling dented cans.
,2019-01-24,5,0.000000,neutral,YUMMY OATMEAL
,2019-06-07,1,-0.656097,negative,Complete Garbage and Chemicals for your animals - Great marketing with pretty pics of vegetables.
,2019-03-07,5,0.660864,positive,The Very Best Oatmeal
,2019-12-29,4,-0.669159,negative,I like McCann's Steel Cut but...
,2019-02-12,3,-0.468567,negative,great taste
,2019-11-07,5,0.403749,positive,Good Stuff in a handy can
,2019-07-19,1,-0.481483,negative,Multiple species refused to eat this food
,2019-07-30,5,0.959097,positive,Organic coconut oil
,2019-05-10,4,0.692048,positive,As advertised. Great taste =)
,2019-06-29,5,0.597272,positive,This is the Best cooking oil!
,2019-07-21,5,0.307664,positive,It seems to be working ...
,2019-05-13,5,0.804623,positive,McCann's Oatmeal
,2019-12-28,5,0.356436,positive,THE BEST
,2019-07-08,5,0.887948,positive,Great Product!
,2019-07-25,5,0.285112,positive,The dog loves it
,2019-10-21,5,-0.909927,negative,Keeps my eczema under control
,2019-08-01,4,0.485354,positive,unlike any other honey
,2019-07-24,5,-0.393533,negative,LOL!!!!!!!!! My CATS are fighting over this one - they believe it's their food!
,2019-09-05,5,0.885575,positive,Re: superior coconut oil!
,2019-08-04,5,0.962727,positive,Coconut Oil
,2019-08-21,5,0.832632,positive,Fantastic
,2019-11-03,4,-0.458275,negative,Manuka honey  for indigestion or facial masks
,2019-08-14,4,0.596731,positive,The doggies seem to dig it!
,2019-03-22,5,0.621224,positive,Yummy!
,2019-03-27,5,0.576953,positive,Great for cooking
,2019-07-26,2,-0.481550,negative,A great fly attractant
,2019-02-08,5,0.806129,positive,Delightful taste!
,2019-09-16,5,0.410856,positive,Lily's New Favorite
,2019-06-06,3,-0.346324,negative,It's OK
,2019-04-01,4,-0.559804,negative,Manuka Honey -
,2019-01-17,5,0.584346,positive,I just got mine and I am so excited!
,2019-08-15,3,0.503959,positive,"It may not be the healthiest but for those on a budget, the Beneful Adult Dry Dog Food will provide the vitamins your do"
,2019-06-12,4,0.752753,positive,Excellent coconut oil
,2019-07-13,5,0.823924,positive,Makes everything taste good...
,2019-04-20,5,0.249333,positive,"delicious taste, Best hONEY EVER"
,2019-05-13,5,-0.312300,negative,Read before you buy
,2019-11-18,4,0.402758,positive,Packaged in plastic jar
,2019-04-04,4,-0.770309,negative,"McCanns is the best, but. . . . . ."
,2019-04-17,5,0.588334,positive,Everything is Good!!
,2019-07-17,1,-0.592664,negative,Shipping Policy
,2019-11-08,5,0.926843,positive,Yum!
,2019-05-26,4,0.718015,positive,Coconut oil
,2019-03-12,5,-0.941910,negative,benefit of Wedderspoon
,2019-12-31,5,-0.343805,negative,Healthy Oats-Great Taste
,2019-10-11,4,0.487376,positive,Picky dog likes it; picky dog's people not impressed with ingredient list
,2019-12-10,4,0.899583,positive,McCasnns oatmeal
,2019-05-23,5,0.878769,positive,very very very good product
,2019-03-29,5,-0.434766,negative,Excellent slow cook oatmeal
,2019-08-16,4,0.511219,positive,Manuka honey
,2019-10-11,5,0.510227,positive,Cleared up my skin!!
,2019-05-13,5,0.919064,positive,great coconut oil and great price!
,2019-07-25,4,0.562114,positive,Some good healthy ingredients
,2019-09-08,5,-0.490284,negative,"What ""Extra Virgin"" label  mean for coconut ?????"
,2019-12-24,5,0.799714,positive,Steel Cut is the way to go
,2019-06-19,5,0.751917,positive,Nature's Way EfaGold Organic Extra Virgin Coconut Oil
,2019-07-04,1,-0.332703,negative,Same stuff different packaging.
,2019-01-18,5,0.793146,positive,the best oatmeal
,2019-02-16,4,0.607118,positive,exceptional oatmeal
,2019-02-22,5,0.958396,positive,Love It
,2019-06-21,5,0.283458,positive,good endoscopy!
,2019-09-05,5,0.461777,positive,You'll never go back to the instant stuff
,2019-05-02,5,0.722935,positive,"Tasty, health oil."
,2019-09-25,5,0.621737,positive,Tastes Good And Is Not Expensive
,2019-02-02,5,0.808484,positive,Fantastic!
,2019-11-15,5,0.841490,positive,Oats make a Meal
,2019-04-14,5,0.517356,positive,This oatmeal is just amazing!!!
,2019-12-06,5,0.520817,positive,"Love, love, love it"
,2019-09-30,4,-0.278966,negative,My Dogs Enjoy It
,2019-09-28,3,-0.495212,negative,Made my skin dry but hair is softer
,2019-06-30,5,0.802348,positive,"Manuka honey, nature's perfect food!"
,2019-11-24,5,0.777911,positive,Excellant product
,2019-07-26,4,-0.325727,negative,Beneful definitely passed the dog taste-test in this house!
,2019-05-21,3,0.361623,positive,"My Dog Likes It, Though Perhaps He Shouldn't."
,2019-06-14,5,0.344883,positive,I love this oatmeal
,2019-01-18,5,-0.598026,negative,"High quality, low cost product"
,2019-06-18,5,0.730361,positive,SUPER!
,2019-06-08,5,0.809177,positive,strongly recommend
,2019-05-11,5,0.336322,positive,Help my wound heal! A miracle!!
,2019-09-11,5,0.387346,positive,It Works
,2019-02-07,5,0.923900,positive,breakfast
,2019-06-12,5,-0.980317,negative,Works Well but Caution...
,2019-10-31,5,0.969765,positive,great stuff!
,2019-04-06,5,0.632250,positive,Best oatmeal ever
,2019-05-24,5,0.786612,positive,Love this steel-cut oatmeal!
,2019-03-28,5,0.518372,positive,Pure and tasty CoconutOil from Amazon
,2019-05-29,2,-0.382284,negative,It's nothing to rave about
,2019-06-05,5,0.642176,positive,Best Oil Ever
,2019-01-17,5,0.313730,positive,The best on the market!!!
,2019-01-08,5,0.555565,positive,Yummy! And way less expensive than the local grocery store.
,2019-01-17,5,0.825928,positive,"Ohh, ohh, oatmeal."
,2019-08-19,4,0.904390,positive,Wedderspoon Raw Organic Manuka Honey Active 16+
,2019-05-08,5,0.347137,positive,Works good and taste better
,2019-03-17,5,0.784916,positive,oatmeal
,2019-06-01,5,0.687742,positive,So yummy!
,2019-09-29,4,-0.270390,negative,my dog liked it
,2019-10-01,5,-0.838053,negative,Great honey
,2019-07-08,5,0.972568,positive,wonderful honey
,2019-06-04,5,0.604599,positive,The best oatmeal i ever tasted.
,2019-09-13,5,0.762011,positive,Beneficial sweetness
,2019-07-25,4,0.385893,positive,"Good Quality Dog Food, Excellent Resealble Package!"
,2019-06-05,4,-0.966223,negative,"Very nice, 12+ is better value"
,2019-02-15,4,-0.331166,negative,Cooking it in a programmable Rice Cooker makes for an easier breakfast!
,2019-12-15,5,0.700184,positive,"Great product, very mild scent"
,2019-08-10,4,0.948577,positive,Beneful
,2019-08-03,5,0.468100,positive,dilute with water for face
,2019-03-30,5,0.812653,positive,hoping for great results
,2019-10-08,5,-0.302127,negative,Diminished my bruise!
,2019-08-11,3,0.493953,positive,manuka WHAT!!!
,2019-07-24,4,0.768000,positive,4-paws from my dog!!
,2019-06-11,2,-0.365849,negative,Purina not molto Bene
,2019-07-24,5,0.999127,positive,Great Stuff!!!!
,2019-03-09,5,0.327876,positive,Steel Cut Oatmeal
,2019-05-24,5,0.771250,positive,Great stuff!
,2019-12-23,5,-0.456308,negative,Excellent
,2019-07-22,4,0.638935,positive,More sugar and salt than peas and carrots
,2019-07-19,4,0.321961,positive,My dogs like it!
,2019-10-01,5,0.581704,positive,Manuka Active 16+ Honey is Delicious!
,2019-06-18,5,0.634673,positive,Oatmeal
,2019-07-24,4,0.756379,positive,"Pricey but really, really good."
,2019-03-29,5,0.542022,positive,WOW! Irish Steel Cut Only!
,2019-01-31,5,0.420153,positive,Interesting Oil
,2019-04-15,5,0.000000,neutral,Manuka Honey for medicinal purposes.
,2019-04-16,5,0.305240,positive,GREAT BREAKFAST STARTS HERE
,2019-07-24,4,-0.413174,negative,Picky Shih-Tzu eats it mixed with canned food....
,2019-08-11,5,0.764224,positive,Fresh and delicious!
,2019-05-23,5,0.880032,positive,It's the real thing
,2019-07-27,3,0.601890,positive,"I like the bag, dogs like the taste, nobody likes the ""nutrition"""
,2019-01-19,5,0.803663,positive,cadillac of honey
,2019-07-25,4,0.954123,positive,Healthy Dog Food
,2019-07-25,4,-0.484869,negative,My friend's 2 dogs and 5 shelter dogs ate this dog food eagerly
,2019-02-06,5,0.857802,positive,It's all I eat for breakfast now!
,2019-09-29,5,-0.958820,negative,More effective than Nexium or Pantozole
,2019-01-30,5,0.467948,positive,Oatmeal for people who hate oatmeal
,2019-07-24,4,-0.367604,negative,"Dogs love it, picture on bag is very misleading."
,2019-12-29,5,0.761986,positive,Great product. Delicous
,2019-03-01,5,0.896230,positive,Fantastic Oatmeal
,2019-12-12,5,0.741325,positive,Coconut Oil
,2019-05-21,5,0.909956,positive,Love it!!
,2019-07-31,5,0.983201,positive,Awesome!
,2019-09-17,4,0.827414,positive,"Great for my hair, and cooking!"
,2019-03-08,5,-0.895779,negative,Miracle Noodles
,2019-04-22,4,0.940185,positive,coconut oil
,2019-01-05,5,0.550978,positive,the best
,2019-12-28,5,0.910708,positive,I'm addicted!!!
,2019-04-12,3,0.292934,positive,"Love Nutiva, but Dioxin (plastic)"
,2019-03-01,5,0.331050,positive,SO MANY USES!
,2019-11-24,5,0.739466,positive,Love it - give it a try
,2019-08-14,5,0.529307,positive,Great Price With Shipping
,2019-04-25,5,-0.514044,negative,Why are we no longer able to autoship my item?
,2019-06-20,5,0.361209,positive,Filling noodles
,2019-01-25,2,0.924361,positive,"Vey, verry sweet"
,2019-07-25,3,-0.380659,negative,My dog doesn't love it
,2019-04-04,5,0.501364,positive,a must try for any dieter!
,2019-02-14,1,-0.338745,negative,very weak!
,2019-10-16,1,-0.904553,negative,poor quality !!!!
,2019-12-03,5,0.728799,positive,Great buy!
,2019-01-10,5,-0.419230,negative,Great Resolution Support
,2019-03-23,5,0.660030,positive,Awesome!  Will never be without it!
,2019-12-08,5,0.648409,positive,SPIKE this with some Irish cream liqueur
,2019-01-17,3,0.420052,positive,Good Toy--A few Drawbacks
,2019-02-12,5,0.765313,positive,Coconut oil for everything!
,2019-07-13,5,0.723492,positive,The best of Miracle Noodles Angel Hair Pasta !!!
,2019-06-17,5,0.721981,positive,best coconut oil I have found
,2019-09-12,5,-0.343326,negative,I love this toy
,2019-02-17,5,0.984069,positive,Healthy cooking with coconut oil
,2019-05-10,1,0.693836,positive,Very cheap and flat taste...
,2019-09-12,3,0.857997,positive,"Disappointed the oil didn't come in a ""jar"" ended up being a ""plastic bottle.""  :("
,2019-12-13,5,0.960643,positive,Great Taste...
,2019-03-01,5,0.657463,positive,Great for cooking and skin/haircare!
,2019-03-03,5,0.864504,positive,Excellent Coffee Blend at Best Price
,2019-03-03,5,0.623439,positive,Delicious
,2019-03-17,5,0.929192,positive,Great Taste
,2019-08-23,1,-0.853231,negative,Plastic taste
,2019-05-31,5,0.718232,positive,Great busy toy!
,2019-08-04,5,0.727079,positive,Miracle Noodles----truly a miracle!!!
,2019-02-22,4,-0.316825,negative,"Be warned, can double as a club when wielded by strong dog."
,2019-05-04,5,0.346872,positive,Love it! Best toy yet.
,2019-05-28,4,-0.618914,negative,Leaked
,2019-02-02,5,-0.461543,negative,"For dieters YES, For non-dieters NO"
,2019-06-15,5,-0.903779,negative,love &lt;3
,2019-02-11,5,0.796906,positive,Great Substitute for Pasta
,2019-07-19,5,0.744224,positive,Really Supprised
,2019-05-05,5,0.762497,positive,Tasty and nutritious
,2019-02-19,5,0.868020,positive,Fog Chaser K-cups
,2019-01-05,5,0.756927,positive,Great product!
,2019-07-07,5,0.888474,positive,Good near zero calorie meal
,2019-12-18,5,0.997674,positive,great cappuccino
,2019-07-31,4,0.967773,positive,"My dog loves it, and it's not hard on my bank account"
,2019-09-30,5,0.917970,positive,Excellent pasta substitute
,2019-11-22,1,-0.821990,negative,Extremely Poor Quality - SUX
,2019-03-19,4,0.372599,positive,Odd package but good coffee
,2019-06-05,5,0.605762,positive,Great Stuff
,2019-05-21,5,0.530388,positive,Well Worth Trying
,2019-12-16,5,0.358323,positive,Needs a bit of creativity to be palatable
,2019-11-25,5,0.797580,positive,Finally!!
,2019-07-31,3,-0.562467,negative,Hmm...
,2019-07-21,5,0.575222,positive,Nutiva vs. Barlean's
,2019-08-19,5,-0.710056,negative,"Took a while to figure out, but great toy!"
,2019-11-28,5,-0.934854,negative,Great Cappuccino
,2019-04-15,5,0.644136,positive,K-Cup that tastes like coffee
,2019-08-15,5,0.630624,positive,Tug-a-Jug is WONDERFUL!!
,2019-04-13,5,0.664987,positive,Delicious flavor
,2019-10-29,5,0.830612,positive,Fantastic Stuff!
,2019-11-28,5,0.483254,positive,Very good coffee with less packaging
,2019-05-30,2,0.683117,positive,Weird aftertaste...
,2019-10-27,4,0.521563,positive,"Near Perfect for popcorn, experimental for other things"
,2019-10-23,2,0.706491,positive,Lids break easily
,2019-09-11,1,-0.608148,negative,Way too sweet
,2019-08-12,5,0.523550,positive,Great oil!
,2019-09-24,3,-0.360723,negative,Was good for a while
,2019-01-13,5,0.710823,positive,Very versatile
,2019-08-17,5,-0.325343,negative,My Pugs love this!
,2019-12-16,5,0.293518,positive,great cappuccino
,2019-12-05,5,0.609333,positive,Amazing!!!!!!
,2019-01-30,4,0.706586,positive,SF Bay Fog Chaser K Cup - A pleasant surprise
,2019-04-23,5,0.984884,positive,Nutiva Organic Extra Virgin Coconut Oil - 8lb tub
